Date,Day,Meal_Type,Dish_Name,Meal_Type_Code,Dish_Code,Day_Code,Year,Month,Week,DayOfYear,Day_of_Week_Num,Is_Weekend,Student_Count,Event_Flag,Vacation_Flag,Servings_Lag_1,Dish_Avg_3,Predicted_Servings
2026-01-01,Thursday,Breakfast,Pongal,0,107,4,2026,1,1,1,3,0,1948,0,0,2082.0,1351.0,965
2026-01-01,Thursday,Breakfast,Akki Rotti,0,0,4,2026,1,1,1,3,0,1948,0,0,5385.0,2093.3333333333335,1549
2026-01-01,Thursday,Breakfast,Upma,0,138,4,2026,1,1,1,3,0,1948,0,0,134.0,237.0,188
2026-01-01,Thursday,Breakfast,Poha,0,106,4,2026,1,1,1,3,0,1948,0,0,1049.0,976.0,405
2026-01-01,Thursday,Breakfast,Idli,0,49,4,2026,1,1,1,3,0,1948,0,0,149.0,1868.6666666666667,902
2026-01-01,Thursday,Breakfast,Uttapam,0,139,4,2026,1,1,1,3,0,1948,0,0,3834.0,1896.0,1333
2026-01-01,Thursday,Breakfast,Dibba Rotti,0,36,4,2026,1,1,1,3,0,1948,0,0,244.0,604.3333333333334,338
2026-01-01,Thursday,Lunch,Jeera Aloo,2,51,4,2026,1,1,1,3,0,1948,0,0,682.0,568.6666666666666,381
2026-01-01,Thursday,Lunch,Khoya Paneer,2,64,4,2026,1,1,1,3,0,1948,0,0,152.0,161.66666666666666,296
2026-01-01,Thursday,Lunch,Jeera Rice,2,52,4,2026,1,1,1,3,0,1948,0,0,111.0,661.6666666666666,266
2026-01-01,Thursday,Lunch,Jalfrezi,2,50,4,2026,1,1,1,3,0,1948,0,0,454.0,200.33333333333334,535
2026-01-01,Thursday,Lunch,Bhindi Masala,2,13,4,2026,1,1,1,3,0,1948,0,0,3438.0,2677.0,736
2026-01-01,Thursday,Lunch,Mag Dhokli,2,75,4,2026,1,1,1,3,0,1948,0,0,276.0,266.6666666666667,245
2026-01-01,Thursday,Lunch,Mishti Chholar Dal,2,85,4,2026,1,1,1,3,0,1948,0,0,1657.0,1478.6666666666667,21
2026-01-01,Thursday,Snacks,Kuzhakkattai,3,70,4,2026,1,1,1,3,0,1948,0,0,1280.0,748.0,1174
2026-01-01,Thursday,Dinner,Olan,1,95,4,2026,1,1,1,3,0,1948,0,0,82.0,1496.0,105
2026-01-01,Thursday,Dinner,Pachadi,1,97,4,2026,1,1,1,3,0,1948,0,0,197.0,216.0,238
2026-01-01,Thursday,Dinner,Veg Kolhapuri,1,141,4,2026,1,1,1,3,0,1948,0,0,1077.0,685.6666666666666,429
2026-01-01,Thursday,Dinner,Rajma,1,112,4,2026,1,1,1,3,0,1948,0,0,123.0,2142.6666666666665,1508
2026-01-01,Thursday,Dinner,Mixed Veg Curry,1,88,4,2026,1,1,1,3,0,1948,0,0,203.0,441.0,195
2026-01-01,Thursday,Dinner,Shukto,1,129,4,2026,1,1,1,3,0,1948,0,0,516.0,219.66666666666666,542
2026-01-01,Thursday,Breakfast,Rava Idli,0,116,4,2026,1,1,1,3,0,1948,0,0,460.0,320.0,277
2026-01-01,Thursday,Breakfast,Puri Bhaji,0,110,4,2026,1,1,1,3,0,1948,0,0,77.0,483.6666666666667,180
