Meal_Type,antecedent,consequent,support,confidence,lift,recommendation
Breakfast,"Kumol Sawul, Pongal, Akki Rotti",Thepla,0.0034223134839151265,0.8333333333333333,4.443430656934306,"[Breakfast] When students take [Kumol Sawul, Pongal, Akki Rotti], they also often take [Thepla] (support=0.003, confidence=0.83, lift=4.44). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Paniyaram, Upma, Akki Rotti",Masala Dosa,0.0034223134839151265,0.8333333333333333,4.332740213523131,"[Breakfast] When students take [Paniyaram, Upma, Akki Rotti], they also often take [Masala Dosa] (support=0.003, confidence=0.83, lift=4.33). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Aloo Paratha, Oondees, Upma",Masala Dosa,0.0034223134839151265,0.8333333333333333,4.332740213523131,"[Breakfast] When students take [Aloo Paratha, Oondees, Upma], they also often take [Masala Dosa] (support=0.003, confidence=0.83, lift=4.33). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Cheera Doi, Puri Bhaji, Rava Dosa",Masala Dosa,0.0034223134839151265,0.8333333333333333,4.332740213523131,"[Breakfast] When students take [Cheera Doi, Puri Bhaji, Rava Dosa], they also often take [Masala Dosa] (support=0.003, confidence=0.83, lift=4.33). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Paniyaram, Thepla, Oondees",Bora Sawul,0.0034223134839151265,0.8333333333333333,4.113175675675675,"[Breakfast] When students take [Paniyaram, Thepla, Oondees], they also often take [Bora Sawul] (support=0.003, confidence=0.83, lift=4.11). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Appam, Poha, Chole Bhature",Paratha,0.0034223134839151265,0.8333333333333333,4.004934210526315,"[Breakfast] When students take [Appam, Poha, Chole Bhature], they also often take [Paratha] (support=0.003, confidence=0.83, lift=4.00). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Pongal, Appam, Akki Rotti",Rava Idli,0.0034223134839151265,0.8333333333333333,3.97875816993464,"[Breakfast] When students take [Pongal, Appam, Akki Rotti], they also often take [Rava Idli] (support=0.003, confidence=0.83, lift=3.98). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Idli, Kumol Sawul, Neer Dosa",Upma,0.0034223134839151265,0.7142857142857143,3.9380053908355794,"[Breakfast] When students take [Idli, Kumol Sawul, Neer Dosa], they also often take [Upma] (support=0.003, confidence=0.71, lift=3.94). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Dibba Rotti, Rava Idli, Chole Bhature",Sevai,0.004106776180698152,0.75,3.8994661921708182,"[Breakfast] When students take [Dibba Rotti, Rava Idli, Chole Bhature], they also often take [Sevai] (support=0.004, confidence=0.75, lift=3.90). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Pongal, Dibba Rotti, Thepla",Akki Rotti,0.004106776180698152,0.75,3.8312937062937062,"[Breakfast] When students take [Pongal, Dibba Rotti, Thepla], they also often take [Akki Rotti] (support=0.004, confidence=0.75, lift=3.83). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Uttapam, Wheat Upma, Aloo Paratha",Kumol Sawul,0.0034223134839151265,0.7142857142857143,3.808654848800834,"[Breakfast] When students take [Uttapam, Wheat Upma, Aloo Paratha], they also often take [Kumol Sawul] (support=0.003, confidence=0.71, lift=3.81). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Pongal, Dibba Rotti, Rava Idli",Kumol Sawul,0.0034223134839151265,0.7142857142857143,3.808654848800834,"[Breakfast] When students take [Pongal, Dibba Rotti, Rava Idli], they also often take [Kumol Sawul] (support=0.003, confidence=0.71, lift=3.81). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Medu Vada, Hurum, Neer Dosa",Masala Dosa,0.0034223134839151265,0.7142857142857143,3.7137773258769697,"[Breakfast] When students take [Medu Vada, Hurum, Neer Dosa], they also often take [Masala Dosa] (support=0.003, confidence=0.71, lift=3.71). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Hurum, Rava Idli, Medu Vada",Masala Dosa,0.0034223134839151265,0.7142857142857143,3.7137773258769697,"[Breakfast] When students take [Hurum, Rava Idli, Medu Vada], they also often take [Masala Dosa] (support=0.003, confidence=0.71, lift=3.71). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Bora Sawul, Set Dosa, Rava Idli",Dibba Rotti,0.0034223134839151265,0.7142857142857143,3.661654135338346,"[Breakfast] When students take [Bora Sawul, Set Dosa, Rava Idli], they also often take [Dibba Rotti] (support=0.003, confidence=0.71, lift=3.66). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
Breakfast,"Paratha, Sevai, Chole Bhature",Appam,0.0034223134839151265,0.625,3.6525000000000003,"[Breakfast] When students take [Paratha, Sevai, Chole Bhature], they also often take [Appam] (support=0.003, confidence=0.62, lift=3.65). Suggestion: Pair these in the Breakfast menu / display or offer them as a combo."
